session id;brick height;paddle speed;ball speed;paddle length;ball size;time;paddle distance;ballHits;ballBounces;amount of bricks;win/lose;type of personality;playerAPM;playerReactionTime;playerPaddleSafety;GEQ - content;GEQ - skillful;GEQ - occupied;GEQ - difficulty;satisfaction
7;1.970401;22.85647;9.327477;30;4.600003;1.859999;27.94763;1;3;25;0;3;190.6231;0.03504384;1.054185;3;5;2;3;12.25
8;1;24.06901;12;14.51029;2;0.6;7.62936;0;2;26;0;3;190.6231;0.03504384;1.054185;3;4;1;1;9.25
9;1.526125;34.81604;10.4122;10.26774;2.504399;1.599999;31.74937;1;2;26;0;3;190.6231;0.03504384;1.054185;2;3;2;1;8.25
10;4.350101;35;12;29.25056;2.061043;7.639994;238.1452;2;9;23;0;3;190.6231;0.03504384;1.054185;3;4;2;4;12
1;5;27.67205;2;30;4.842199;36.34064;662.3082;7;17;16;0;5;388.7137;0.009281365;1.062838;3;2;3;4;11.75
2;4.580618;35;11.51009;30;2.076216;1.279999;36.26882;0;3;26;0;5;388.7137;0.009281365;1.062838;2;2;0;2;5.5
3;5;35;4.379205;30;5.79325;43.80081;1079.897;5;21;22;0;5;388.7137;0.009281365;1.062838;3;1;3;4;11
4;5;26.85065;9.522691;19.78585;3.724372;3.439997;61.64999;1;5;24;0;5;388.7137;0.009281365;1.062838;2;2;1;4;7.75
5;4.150531;35;2.27892;19.6881;3.256768;71.65999;1666.644;15;35;7;0;5;388.7137;0.009281365;1.062838;4;2;3;4;13.25
6;5;20.5288;7.538402;30;3.321753;32.66056;352.3;13;25;11;0;5;388.7137;0.009281365;1.062838;3;1;4;5;12.75
7;4.807359;22.67128;2;14.37071;4.241097;19.88026;241.2957;11;7;22;0;5;388.7137;0.009281365;1.062838;1;0;4;5;9
8;5;35;8.421812;21.45081;3.450265;5.499996;96.5123;2;5;23;0;5;388.7137;0.009281365;1.062838;2;2;1;5;8.25
9;3.043384;25.43137;11.51091;30;4.669358;28.60046;446.3396;14;60;0;1;5;388.7137;0.009281365;1.062838;4;4;5;4;17.25
10;1.742828;31.24934;8.845232;30;4.212145;21.90031;346.8678;12;32;9;0;5;388.7137;0.009281365;1.062838;3;2;5;5;14.75
1;4.805552;27.63488;12;10;6;1.179999;36.66668;2;3;26;0;1;172.5737;0.03319016;1.161863;1;1;2;3;6.25
2;5;32.75489;6.058084;12.6842;5.484031;6.339995;175.5563;1;5;25;0;1;172.5737;0.03319016;1.161863;1;2;0;4;5
3;1.291154;15;7.961477;20.77051;5.574769;0.8799997;18.8551;0;2;26;0;1;172.5737;0.03319016;1.161863;1;2;0;2;4
4;5;35;8.613968;18.14516;6;9.640031;277.9492;8;11;21;0;1;172.5737;0.03319016;1.161863;1;0;4;5;9
5;5;31.32786;9.288988;24.94194;4.798429;1.579999;47.2872;0;2;26;0;1;172.5737;0.03319016;1.161863;1;2;0;2;4
6;1;25.06175;7.071075;30;6;0.8799997;20.05836;0;2;26;0;1;172.5737;0.03319016;1.161863;1;2;0;2;4
7;4.683318;25.35074;5.536538;11.72699;2;2.599998;50.08691;0;2;26;0;1;172.5737;0.03319016;1.161863;1;2;0;2;4
8;2.878966;15;9.839414;10;5.546527;1.04;19.12104;0;2;26;0;1;172.5737;0.03319016;1.161863;1;2;0;2;4
9;1.167225;33.70994;4.332815;25.58162;2;3.619997;65.11736;1;3;25;0;1;172.5737;0.03319016;1.161863;1;2;1;4;6.25
10;5;35;7.013056;30;4.886628;26.08041;674.199;9;17;19;0;1;172.5737;0.03319016;1.161863;4;1;3;5;13
1;3.833091;35;8.942642;30;2.952824;14.02013;278.5001;4;15;20;0;2;397.9774;0.005428081;1.258794;3;2;4;3;11
2;1.043316;33.5669;2;26.26109;4.870759;62.70124;1261.022;29;50;0;1;2;397.9774;0.005428081;1.258794;5;2;3;4;13.25
3;4.842717;28.19713;2.84985;10;2;56.3811;698.0018;11;20;17;0;2;397.9774;0.005428081;1.258794;3;0;2;2;5.75
4;5;35;4.436156;30;3.59489;6.179995;96.28844;1;5;24;0;2;397.9774;0.005428081;1.258794;3;2;3;2;9.25
5;3.222791;35;2.545196;26.04721;6;86.91743;1868.399;40;70;0;1;2;397.9774;0.005428081;1.258794;5;2;3;4;13.25
6;5;15;2;12.48759;5.193925;37.86068;231.6997;9;20;19;0;2;397.9774;0.005428081;1.258794;2;2;2;1;6.75
